PermitNo,Permittee,SiteNo,SiteCompany,SiteAddr1,SiteCity,SiteState,SiteZipCode,MapCategory
FA0000885,CARRS #1813 - RETAIL MEAT,FA0000885,CARRS #1813 - RETAIL MEAT,1501 HUFFMAN RD,ANCHORAGE,AK,99515-4309,06F
FA0000886,CARRS #1812 - RETAIL MEAT,FA0000886,CARRS #1812 - RETAIL MEAT,4000 W DIMOND BLVD,ANCHORAGE,AK,99502-1466,07F
FA0000888,CARRS #1809 - RETAIL MEAT,FA0000888,CARRS #1809 - RETAIL MEAT,5600 DEBARR RD,ANCHORAGE,AK,99504-2300,04E
FA0000891,CARRS #1806 - RETAIL MEAT,FA0000891,CARRS #1806 - RETAIL MEAT,600 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503-4134,08C
FA0000892,CARRS #1805 - RETAIL MEAT,FA0000892,CARRS #1805 - RETAIL MEAT,1650 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99517-3340,03B
FA0000893,CARRS #1802 - RETAIL MEAT,FA0000893,CARRS #1802 - RETAIL MEAT,1340 GAMBELL ST,ANCHORAGE,AK,99501-4630,02B
FA0000894,COSTCO WHOLESALE #63 - MEAT,FA0000894,COSTCO WHOLESALE #63 - MEAT,4125 DEBARR RD,ANCHORAGE,AK,99508-3115,02F
FA0000916,BELLS NURSERY #2,FA0000916,BELLS NURSERY #2,13700 SPECKING AVE,ANCHORAGE,AK,99515-4159,07E
FA0000921,Totem Theatre 1 2 3,FA0000921,Totem Theatre 1 2 3,3101 MULDOON RD,ANCHORAGE,AK,99504-4101,04I
FA0000923,DIMOND SKATE LAND,FA0000923,DIMOND SKATE LAND,8100 HOMER DR,ANCHORAGE,AK,99518-3364,06C
FA0000924,ROYAL ROLLER RINK,FA0000924,ROYAL ROLLER RINK,3743 DEBORAH LN,ANCHORAGE,AK,99504-4602,04F
FA0000930,EGAN CENTER SNACK BAR,FA0000930,EGAN CENTER SNACK BAR,555 W 5TH AVE,ANCHORAGE,AK,99501-2247,01D
FA0000935,TESORO NORTHSTORE #010,FA0000935,TESORO NORTHSTORE #010,500 HOLLYWOOD DR,ANCHORAGE,AK,99501-1219,01F
FA0000936,HOLIDAY STATIONSTORE #607 SNACK,FA0000936,HOLIDAY STATIONSTORE #607 SNACK,5487 E NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99508-4712,NULL
